,sqs_num,vac_num,initial_structure,formula,formation_energy
0,0,0,"# generated using pymatgen
data_Hf3TaNb2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf3TaNb2C
_chemical_formula_sum   'Hf3 Ta1 Nb2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.25000000  1
  Hf  Hf1  1  0.75000000  0.50000000  0.50000000  1
  Hf  Hf2  1  0.50000000  0.75000000  0.50000000  1
  Ta  Ta3  1  0.25000000  0.50000000  0.50000000  1
  Nb  Nb4  1  0.50000000  0.25000000  0.50000000  1
  Nb  Nb5  1  0.50000000  0.50000000  0.75000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf3 Ta1 Nb2,0.82955715
1,0,1,"# generated using pymatgen
data_Hf2Zr2Ta2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf2Zr2Ta2C
_chemical_formula_sum   'Hf2 Zr2 Ta2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.25000000  0.50000000  0.50000000  1
  Hf  Hf1  1  0.50000000  0.50000000  0.75000000  1
  Zr  Zr2  1  0.50000000  0.25000000  0.50000000  1
  Zr  Zr3  1  0.50000000  0.75000000  0.50000000  1
  Ta  Ta4  1  0.50000000  0.50000000  0.25000000  1
  Ta  Ta5  1  0.75000000  0.50000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf2 Zr2 Ta2,0.75376659
2,0,2,"# generated using pymatgen
data_HfZr2TaNb2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfZr2TaNb2C
_chemical_formula_sum   'Hf1 Zr2 Ta1 Nb2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.25000000  0.50000000  1
  Zr  Zr1  1  0.25000000  0.50000000  0.50000000  1
  Zr  Zr2  1  0.50000000  0.50000000  0.75000000  1
  Ta  Ta3  1  0.50000000  0.50000000  0.25000000  1
  Nb  Nb4  1  0.50000000  0.75000000  0.50000000  1
  Nb  Nb5  1  0.75000000  0.50000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf1 Zr2 Ta1 Nb2,0.68505433
3,0,3,"# generated using pymatgen
data_HfZr3Nb2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfZr3Nb2C
_chemical_formula_sum   'Hf1 Zr3 Nb2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.75000000  1
  Zr  Zr1  1  0.75000000  0.50000000  0.50000000  1
  Zr  Zr2  1  0.50000000  0.75000000  0.50000000  1
  Zr  Zr3  1  0.50000000  0.25000000  0.50000000  1
  Nb  Nb4  1  0.50000000  0.50000000  0.25000000  1
  Nb  Nb5  1  0.25000000  0.50000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf1 Zr3 Nb2,0.64284241
4,0,4,"# generated using pymatgen
data_Hf2ZrNb3C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf2ZrNb3C
_chemical_formula_sum   'Hf2 Zr1 Nb3 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.75000000  1
  Hf  Hf1  1  0.50000000  0.25000000  0.50000000  1
  Zr  Zr2  1  0.25000000  0.50000000  0.50000000  1
  Nb  Nb3  1  0.50000000  0.75000000  0.50000000  1
  Nb  Nb4  1  0.75000000  0.50000000  0.50000000  1
  Nb  Nb5  1  0.50000000  0.50000000  0.25000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf2 Zr1 Nb3,0.72022336
5,0,5,"# generated using pymatgen
data_HfZr2Ta2NbC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfZr2Ta2NbC
_chemical_formula_sum   'Hf1 Zr2 Ta2 Nb1 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.25000000  1
  Zr  Zr1  1  0.75000000  0.50000000  0.50000000  1
  Zr  Zr2  1  0.50000000  0.25000000  0.50000000  1
  Ta  Ta3  1  0.50000000  0.50000000  0.75000000  1
  Ta  Ta4  1  0.50000000  0.75000000  0.50000000  1
  Nb  Nb5  1  0.25000000  0.50000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf1 Zr2 Ta2 Nb1,0.75310334
6,0,6,"# generated using pymatgen
data_Hf2ZrTaNb2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf2ZrTaNb2C
_chemical_formula_sum   'Hf2 Zr1 Ta1 Nb2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.75000000  0.50000000  1
  Hf  Hf1  1  0.75000000  0.50000000  0.50000000  1
  Zr  Zr2  1  0.50000000  0.50000000  0.25000000  1
  Ta  Ta3  1  0.50000000  0.50000000  0.75000000  1
  Nb  Nb4  1  0.25000000  0.50000000  0.50000000  1
  Nb  Nb5  1  0.50000000  0.25000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf2 Zr1 Ta1 Nb2,0.68382866
7,0,7,"# generated using pymatgen
data_Hf2ZrTaNb2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf2ZrTaNb2C
_chemical_formula_sum   'Hf2 Zr1 Ta1 Nb2 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.50000000  0.25000000  1
  Hf  Hf1  1  0.25000000  0.50000000  0.50000000  1
  Zr  Zr2  1  0.50000000  0.75000000  0.50000000  1
  Ta  Ta3  1  0.50000000  0.25000000  0.50000000  1
  Nb  Nb4  1  0.50000000  0.50000000  0.75000000  1
  Nb  Nb5  1  0.75000000  0.50000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf2 Zr1 Ta1 Nb2,0.73414951
8,0,8,"# generated using pymatgen
data_Hf2Ta3NbC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf2Ta3NbC
_chemical_formula_sum   'Hf2 Ta3 Nb1 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.50000000  0.75000000  0.50000000  1
  Hf  Hf1  1  0.50000000  0.50000000  0.25000000  1
  Ta  Ta2  1  0.50000000  0.25000000  0.50000000  1
  Ta  Ta3  1  0.75000000  0.50000000  0.50000000  1
  Ta  Ta4  1  0.25000000  0.50000000  0.50000000  1
  Nb  Nb5  1  0.50000000  0.50000000  0.75000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Hf2 Ta3 Nb1,0.69080927
9,0,9,"# generated using pymatgen
data_Zr2Ta3NbC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00000000
_cell_length_b   5.00000000
_cell_length_c   5.00000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr2Ta3NbC
_chemical_formula_sum   'Zr2 Ta3 Nb1 C1'
_cell_volume   125.00000000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.50000000  0.50000000  0.25000000  1
  Zr  Zr1  1  0.50000000  0.50000000  0.75000000  1
  Ta  Ta2  1  0.75000000  0.50000000  0.50000000  1
  Ta  Ta3  1  0.50000000  0.75000000  0.50000000  1
  Ta  Ta4  1  0.25000000  0.50000000  0.50000000  1
  Nb  Nb5  1  0.50000000  0.25000000  0.50000000  1
  C  C6  1  0.50000000  0.50000000  0.50000000  1
",Zr2 Ta3 Nb1,0.48580172
